alert_id,transaction_id,sender_account,receiver_account,transaction_amount,final_risk_score,risk_level,alert_type,alert_generated_at,recommended_action,alert_status
ALT000222,T007043,A0426,A0433,135824,91.5,HIGH,Critical Fraud Alert,2025-01-01 12:42:00,Block Transaction,Under Review
ALT000223,T007060,A0480,A0238,158204,89.25,HIGH,High Risk Alert,2025-01-01 12:43:00,Manual Review,Under Review
ALT000224,T007081,A0160,A0177,55703,78.38,HIGH,Medium Risk Alert,2025-01-01 12:44:00,Monitor,Open
ALT000225,T007116,A0493,A0483,180486,92.25,HIGH,Critical Fraud Alert,2025-01-01 12:45:00,Block Transaction,Under Review
ALT000226,T007171,A0410,A0491,191673,93.25,HIGH,Critical Fraud Alert,2025-01-01 12:46:00,Block Transaction,Open
ALT000227,T007238,A0468,A0147,384489,79.25,HIGH,Medium Risk Alert,2025-01-01 12:47:00,Monitor,Resolved
ALT000228,T007242,A0496,A0308,166633,92.5,HIGH,Critical Fraud Alert,2025-01-01 12:48:00,Block Transaction,Open
ALT000229,T007262,A0008,A0021,393302,79.5,HIGH,Medium Risk Alert,2025-01-01 12:49:00,Monitor,Resolved
ALT000230,T007322,A0309,A0024,142961,90.5,HIGH,Critical Fraud Alert,2025-01-01 12:50:00,Block Transaction,Open
ALT000231,T007323,A0064,A0032,420053,75.75,HIGH,Medium Risk Alert,2025-01-01 12:51:00,Monitor,Under Review
ALT000232,T007340,A0208,A0011,141457,86.91,HIGH,High Risk Alert,2025-01-01 12:52:00,Manual Review,Open
ALT000233,T007372,A0188,A0483,173883,92.5,HIGH,Critical Fraud Alert,2025-01-01 12:53:00,Block Transaction,Open
ALT000234,T007387,A0017,A0257,91380,78.09,HIGH,Medium Risk Alert,2025-01-01 12:54:00,Monitor,Under Review
ALT000235,T007425,A0374,A0089,239829,76.25,HIGH,Medium Risk Alert,2025-01-01 12:55:00,Monitor,Under Review
ALT000236,T007474,A0158,A0004,66070,75.65,HIGH,Medium Risk Alert,2025-01-01 12:56:00,Monitor,Open
ALT000237,T007522,A0096,A0065,110123,87.78,HIGH,High Risk Alert,2025-01-01 12:57:00,Manual Review,Open
ALT000238,T007586,A0467,A0237,105678,94.75,HIGH,Critical Fraud Alert,2025-01-01 12:58:00,Block Transaction,Under Review
ALT000239,T007595,A0416,A0252,228874,83.75,HIGH,High Risk Alert,2025-01-01 12:59:00,Manual Review,Under Review
ALT000240,T007639,A0059,A0079,176500,91.0,HIGH,Critical Fraud Alert,2025-01-01 13:00:00,Block Transaction,Under Review
ALT000241,T007670,A0137,A0237,106929,89.75,HIGH,High Risk Alert,2025-01-01 13:01:00,Manual Review,Open
ALT000242,T007686,A0169,A0257,150977,90.0,HIGH,Critical Fraud Alert,2025-01-01 13:02:00,Block Transaction,Resolved
ALT000243,T007763,A0448,A0433,66027,86.73,HIGH,High Risk Alert,2025-01-01 13:03:00,Manual Review,Under Review
ALT000244,T007783,A0304,A0158,463388,75.75,HIGH,Medium Risk Alert,2025-01-01 13:04:00,Monitor,Under Review
ALT000245,T007790,A0251,A0234,184749,94.25,HIGH,Critical Fraud Alert,2025-01-01 13:05:00,Block Transaction,Under Review
ALT000246,T007794,A0107,A0353,109510,91.04,HIGH,Critical Fraud Alert,2025-01-01 13:06:00,Block Transaction,Resolved
ALT000247,T007830,A0105,A0104,469053,77.0,HIGH,Medium Risk Alert,2025-01-01 13:07:00,Monitor,Resolved
ALT000248,T007869,A0055,A0483,114653,89.92,HIGH,High Risk Alert,2025-01-01 13:08:00,Manual Review,Under Review
ALT000249,T008003,A0263,A0237,149951,93.73,HIGH,Critical Fraud Alert,2025-01-01 13:09:00,Block Transaction,Open
ALT000250,T008140,A0227,A0344,120550,89.5,HIGH,High Risk Alert,2025-01-01 13:10:00,Manual Review,Open
ALT000251,T008173,A0262,A0249,356911,82.5,HIGH,High Risk Alert,2025-01-01 13:11:00,Manual Review,Under Review
ALT000252,T008190,A0440,A0108,153562,88.1,HIGH,High Risk Alert,2025-01-01 13:12:00,Manual Review,Under Review
ALT000253,T008193,A0436,A0088,162191,92.0,HIGH,Critical Fraud Alert,2025-01-01 13:13:00,Block Transaction,Under Review
ALT000254,T008212,A0243,A0234,64347,93.75,HIGH,Critical Fraud Alert,2025-01-01 13:14:00,Block Transaction,Open
ALT000255,T008237,A0001,A0433,52432,89.0,HIGH,High Risk Alert,2025-01-01 13:15:00,Manual Review,Open
ALT000256,T008263,A0446,A0472,193129,76.5,HIGH,Medium Risk Alert,2025-01-01 13:16:00,Monitor,Under Review
ALT000257,T008310,A0425,A0308,279687,90.5,HIGH,Critical Fraud Alert,2025-01-01 13:17:00,Block Transaction,Open
ALT000258,T008316,A0009,A0050,184892,81.5,HIGH,High Risk Alert,2025-01-01 13:18:00,Manual Review,Under Review
ALT000259,T008340,A0039,A0024,93638,85.84,HIGH,High Risk Alert,2025-01-01 13:19:00,Manual Review,Open
ALT000260,T008385,A0212,A0344,76106,88.04,HIGH,High Risk Alert,2025-01-01 13:20:00,Manual Review,Open
ALT000261,T008426,A0222,A0257,105101,81.76,HIGH,High Risk Alert,2025-01-01 13:21:00,Manual Review,Resolved
ALT000262,T008443,A0494,A0394,54236,86.52,HIGH,High Risk Alert,2025-01-01 13:22:00,Manual Review,Open
ALT000263,T008446,A0092,A0024,182626,90.0,HIGH,Critical Fraud Alert,2025-01-01 13:23:00,Block Transaction,Open
ALT000264,T008486,A0023,A0177,170775,89.75,HIGH,High Risk Alert,2025-01-01 13:24:00,Manual Review,Open
ALT000265,T008535,A0371,A0056,149637,91.63,HIGH,Critical Fraud Alert,2025-01-01 13:25:00,Block Transaction,Under Review
ALT000266,T008537,A0349,A0278,455070,85.5,HIGH,High Risk Alert,2025-01-01 13:26:00,Manual Review,Under Review
ALT000267,T008539,A0313,A0394,151523,89.5,HIGH,High Risk Alert,2025-01-01 13:27:00,Manual Review,Resolved
ALT000268,T008577,A0093,A0465,171733,89.25,HIGH,High Risk Alert,2025-01-01 13:28:00,Manual Review,Under Review
ALT000269,T008611,A0071,A0004,164859,92.5,HIGH,Critical Fraud Alert,2025-01-01 13:29:00,Block Transaction,Under Review
ALT000270,T008648,A0402,A0080,395939,78.5,HIGH,Medium Risk Alert,2025-01-01 13:30:00,Monitor,Under Review
ALT000271,T008738,A0388,A0238,134866,90.75,HIGH,Critical Fraud Alert,2025-01-01 13:31:00,Block Transaction,Resolved
ALT000272,T008763,A0116,A0353,488988,92.5,HIGH,Critical Fraud Alert,2025-01-01 13:32:00,Block Transaction,Under Review
ALT000273,T008800,A0454,A0257,96110,94.0,HIGH,Critical Fraud Alert,2025-01-01 13:33:00,Block Transaction,Under Review
ALT000274,T008808,A0410,A0079,107007,93.25,HIGH,Critical Fraud Alert,2025-01-01 13:34:00,Block Transaction,Under Review
ALT000275,T008897,A0448,A0134,265297,75.25,HIGH,Medium Risk Alert,2025-01-01 13:35:00,Monitor,Open
ALT000276,T008975,A0017,A0328,163038,88.5,HIGH,High Risk Alert,2025-01-01 13:36:00,Manual Review,Under Review
ALT000277,T009000,A0339,A0024,131504,91.25,HIGH,Critical Fraud Alert,2025-01-01 13:37:00,Block Transaction,Open
ALT000278,T009001,A0302,A0234,147145,90.0,HIGH,Critical Fraud Alert,2025-01-01 13:38:00,Block Transaction,Under Review
ALT000279,T009005,A0132,A0065,118658,83.69,HIGH,High Risk Alert,2025-01-01 13:39:00,Manual Review,Open
ALT000280,T009017,A0248,A0056,94942,76.14,HIGH,Medium Risk Alert,2025-01-01 13:40:00,Monitor,Open
ALT000281,T009030,A0345,A0050,373657,79.5,HIGH,Medium Risk Alert,2025-01-01 13:41:00,Monitor,Open
ALT000282,T009052,A0320,A0024,127831,91.0,HIGH,Critical Fraud Alert,2025-01-01 13:42:00,Block Transaction,Open
ALT000283,T009129,A0087,A0011,119662,87.86,HIGH,High Risk Alert,2025-01-01 13:43:00,Manual Review,Resolved
ALT000284,T009137,A0210,A0004,146961,92.0,HIGH,Critical Fraud Alert,2025-01-01 13:44:00,Block Transaction,Under Review
ALT000285,T009144,A0087,A0220,58284,79.25,HIGH,Medium Risk Alert,2025-01-01 13:45:00,Monitor,Under Review
ALT000286,T009164,A0414,A0445,401163,78.5,HIGH,Medium Risk Alert,2025-01-01 13:46:00,Monitor,Under Review
ALT000287,T009181,A0212,A0282,174806,80.5,HIGH,High Risk Alert,2025-01-01 13:47:00,Manual Review,Open
ALT000288,T009186,A0025,A0257,430963,91.5,HIGH,Critical Fraud Alert,2025-01-01 13:48:00,Block Transaction,Under Review
ALT000289,T009194,A0045,A0234,195624,90.0,HIGH,Critical Fraud Alert,2025-01-01 13:49:00,Block Transaction,Under Review
ALT000290,T009332,A0392,A0151,237805,75.25,HIGH,Medium Risk Alert,2025-01-01 13:50:00,Monitor,Open
ALT000291,T009339,A0151,A0394,126256,90.07,HIGH,Critical Fraud Alert,2025-01-01 13:51:00,Block Transaction,Under Review
ALT000292,T009416,A0052,A0433,311867,90.5,HIGH,Critical Fraud Alert,2025-01-01 13:52:00,Block Transaction,Under Review
ALT000293,T009420,A0267,A0108,153492,89.25,HIGH,High Risk Alert,2025-01-01 13:53:00,Manual Review,Under Review
ALT000294,T009432,A0496,A0257,61274,86.18,HIGH,High Risk Alert,2025-01-01 13:54:00,Manual Review,Under Review
ALT000295,T009465,A0249,A0238,64510,77.85,HIGH,Medium Risk Alert,2025-01-01 13:55:00,Monitor,Resolved
ALT000296,T009546,A0070,A0220,126234,83.05,HIGH,High Risk Alert,2025-01-01 13:56:00,Manual Review,Open
ALT000297,T009574,A0490,A0278,242289,85.0,HIGH,High Risk Alert,2025-01-01 13:57:00,Manual Review,Open
ALT000298,T009603,A0487,A0241,488116,77.0,HIGH,Medium Risk Alert,2025-01-01 13:58:00,Monitor,Under Review
ALT000299,T009668,A0206,A0483,156746,90.69,HIGH,Critical Fraud Alert,2025-01-01 13:59:00,Block Transaction,Open
ALT000300,T009687,A0326,A0056,76596,81.77,HIGH,High Risk Alert,2025-01-01 14:00:00,Manual Review,Open
ALT000301,T009738,A0277,A0243,382548,76.25,HIGH,Medium Risk Alert,2025-01-01 14:01:00,Monitor,Under Review
ALT000302,T009795,A0393,A0071,249202,76.0,HIGH,Medium Risk Alert,2025-01-01 14:02:00,Monitor,Open
ALT000303,T009821,A0425,A0088,161784,84.9,HIGH,High Risk Alert,2025-01-01 14:03:00,Manual Review,Under Review
ALT000304,T009835,A0006,A0465,164889,83.5,HIGH,High Risk Alert,2025-01-01 14:04:00,Manual Review,Under Review
ALT000305,T009853,A0274,A0347,172360,87.61,HIGH,High Risk Alert,2025-01-01 14:05:00,Manual Review,Resolved
ALT000306,T009858,A0279,A0115,276996,79.0,HIGH,Medium Risk Alert,2025-01-01 14:06:00,Monitor,Under Review
ALT000307,T009874,A0386,A0445,460377,79.75,HIGH,Medium Risk Alert,2025-01-01 14:07:00,Monitor,Under Review
ALT000308,T009928,A0099,A0106,198644,76.75,HIGH,Medium Risk Alert,2025-01-01 14:08:00,Monitor,Open
ALT000309,T009952,A0028,A0220,193070,93.0,HIGH,Critical Fraud Alert,2025-01-01 14:09:00,Block Transaction,Open
ALT000310,T009957,A0039,A0078,414174,76.5,HIGH,Medium Risk Alert,2025-01-01 14:10:00,Monitor,Open
ALT000311,T010016,A0327,A0108,193141,93.5,HIGH,Critical Fraud Alert,2025-01-01 14:11:00,Block Transaction,Resolved
ALT000312,T010022,A0039,A0491,116962,91.16,HIGH,Critical Fraud Alert,2025-01-01 14:12:00,Block Transaction,Resolved
ALT000313,T010044,A0211,A0065,97420,88.43,HIGH,High Risk Alert,2025-01-01 14:13:00,Manual Review,Under Review
ALT000314,T010058,A0447,A0491,59977,89.75,HIGH,High Risk Alert,2025-01-01 14:14:00,Manual Review,Open
ALT000315,T010084,A0312,A0257,103728,86.45,HIGH,High Risk Alert,2025-01-01 14:15:00,Manual Review,Open
ALT000316,T010114,A0478,A0024,106865,84.09,HIGH,High Risk Alert,2025-01-01 14:16:00,Manual Review,Open
ALT000317,T010124,A0324,A0065,58813,79.33,HIGH,Medium Risk Alert,2025-01-01 14:17:00,Monitor,Under Review
ALT000318,T010130,A0066,A0308,84974,82.07,HIGH,High Risk Alert,2025-01-01 14:18:00,Manual Review,Open
ALT000319,T010138,A0267,A0299,198208,91.25,HIGH,Critical Fraud Alert,2025-01-01 14:19:00,Block Transaction,Open
ALT000320,T010161,A0385,A0447,354350,83.75,HIGH,High Risk Alert,2025-01-01 14:20:00,Manual Review,Open
ALT000321,T010166,A0125,A0108,148363,90.25,HIGH,Critical Fraud Alert,2025-01-01 14:21:00,Block Transaction,Resolved
ALT000322,T010178,A0048,A0347,91965,84.5,HIGH,High Risk Alert,2025-01-01 14:22:00,Manual Review,Open
ALT000323,T010184,A0277,A0177,177447,94.5,HIGH,Critical Fraud Alert,2025-01-01 14:23:00,Block Transaction,Resolved
ALT000324,T010186,A0473,A0483,99866,94.5,HIGH,Critical Fraud Alert,2025-01-01 14:24:00,Block Transaction,Open
ALT000325,T010215,A0379,A0443,179138,92.75,HIGH,Critical Fraud Alert,2025-01-01 14:25:00,Block Transaction,Open
ALT000326,T010240,A0370,A0211,411315,76.0,HIGH,Medium Risk Alert,2025-01-01 14:26:00,Monitor,Resolved
ALT000327,T010264,A0445,A0177,80702,79.49,HIGH,Medium Risk Alert,2025-01-01 14:27:00,Monitor,Open
ALT000328,T010305,A0440,A0484,493177,75.75,HIGH,Medium Risk Alert,2025-01-01 14:28:00,Monitor,Open
ALT000329,T010371,A0376,A0088,192719,92.75,HIGH,Critical Fraud Alert,2025-01-01 14:29:00,Block Transaction,Under Review
ALT000330,T010404,A0028,A0285,212254,88.75,HIGH,High Risk Alert,2025-01-01 14:30:00,Manual Review,Under Review
ALT000331,T010419,A0395,A0065,117323,94.5,HIGH,Critical Fraud Alert,2025-01-01 14:31:00,Block Transaction,Open
ALT000332,T010420,A0082,A0319,383598,75.25,HIGH,Medium Risk Alert,2025-01-01 14:32:00,Monitor,Under Review
ALT000333,T010526,A0071,A0234,193736,91.0,HIGH,Critical Fraud Alert,2025-01-01 14:33:00,Block Transaction,Resolved
ALT000334,T010531,A0130,A0220,94647,85.83,HIGH,High Risk Alert,2025-01-01 14:34:00,Manual Review,Open
ALT000335,T010567,A0282,A0024,198412,92.5,HIGH,Critical Fraud Alert,2025-01-01 14:35:00,Block Transaction,Open
ALT000336,T010573,A0106,A0435,111858,79.25,HIGH,Medium Risk Alert,2025-01-01 14:36:00,Monitor,Open
ALT000337,T010621,A0462,A0004,94543,80.11,HIGH,High Risk Alert,2025-01-01 14:37:00,Manual Review,Under Review
ALT000338,T010699,A0018,A0079,63017,78.36,HIGH,Medium Risk Alert,2025-01-01 14:38:00,Monitor,Under Review
ALT000339,T010851,A0267,A0394,143257,92.5,HIGH,Critical Fraud Alert,2025-01-01 14:39:00,Block Transaction,Under Review
ALT000340,T010896,A0263,A0254,62674,78.38,HIGH,Medium Risk Alert,2025-01-01 14:40:00,Monitor,Open
ALT000341,T010906,A0415,A0394,171350,92.75,HIGH,Critical Fraud Alert,2025-01-01 14:41:00,Block Transaction,Under Review
ALT000342,T010936,A0395,A0394,171571,88.75,HIGH,High Risk Alert,2025-01-01 14:42:00,Manual Review,Open
ALT000343,T010937,A0245,A0234,138091,91.25,HIGH,Critical Fraud Alert,2025-01-01 14:43:00,Block Transaction,Under Review
ALT000344,T010968,A0131,A0004,110827,84.69,HIGH,High Risk Alert,2025-01-01 14:44:00,Manual Review,Resolved
ALT000345,T010989,A0115,A0080,154724,80.0,HIGH,High Risk Alert,2025-01-01 14:45:00,Manual Review,Open
ALT000346,T011017,A0302,A0056,446843,90.75,HIGH,Critical Fraud Alert,2025-01-01 14:46:00,Block Transaction,Open
ALT000347,T011102,A0392,A0447,126715,78.79,HIGH,Medium Risk Alert,2025-01-01 14:47:00,Monitor,Open
ALT000348,T011115,A0248,A0344,194606,90.88,HIGH,Critical Fraud Alert,2025-01-01 14:48:00,Block Transaction,Open
ALT000349,T011235,A0092,A0109,67561,89.75,HIGH,High Risk Alert,2025-01-01 14:49:00,Manual Review,Resolved
ALT000350,T011240,A0105,A0234,57771,75.72,HIGH,Medium Risk Alert,2025-01-01 14:50:00,Monitor,Open
ALT000351,T011254,A0490,A0108,87044,84.31,HIGH,High Risk Alert,2025-01-01 14:51:00,Manual Review,Open
ALT000352,T011315,A0454,A0394,170040,93.5,HIGH,Critical Fraud Alert,2025-01-01 14:52:00,Block Transaction,Resolved
ALT000353,T011320,A0311,A0108,92528,82.33,HIGH,High Risk Alert,2025-01-01 14:53:00,Manual Review,Under Review
ALT000354,T011346,A0260,A0483,197200,91.75,HIGH,Critical Fraud Alert,2025-01-01 14:54:00,Block Transaction,Open
ALT000355,T011349,A0282,A0457,69525,82.75,HIGH,High Risk Alert,2025-01-01 14:55:00,Manual Review,Resolved
ALT000356,T011421,A0406,A0394,188930,92.25,HIGH,Critical Fraud Alert,2025-01-01 14:56:00,Block Transaction,Under Review
ALT000357,T011424,A0249,A0109,167408,91.5,HIGH,Critical Fraud Alert,2025-01-01 14:57:00,Block Transaction,Open
ALT000358,T011434,A0168,A0299,138785,90.5,HIGH,Critical Fraud Alert,2025-01-01 14:58:00,Block Transaction,Open
ALT000359,T011437,A0104,A0108,165550,93.75,HIGH,Critical Fraud Alert,2025-01-01 14:59:00,Block Transaction,Open
ALT000360,T011453,A0032,A0220,102892,79.46,HIGH,Medium Risk Alert,2025-01-01 15:00:00,Monitor,Open
ALT000361,T011491,A0217,A0262,359880,75.0,HIGH,Medium Risk Alert,2025-01-01 15:01:00,Monitor,Open
ALT000362,T011511,A0423,A0269,170423,75.25,HIGH,Medium Risk Alert,2025-01-01 15:02:00,Monitor,Open
ALT000363,T011548,A0073,A0360,406969,78.0,HIGH,Medium Risk Alert,2025-01-01 15:03:00,Monitor,Under Review
ALT000364,T011558,A0142,A0079,58085,76.53,HIGH,Medium Risk Alert,2025-01-01 15:04:00,Monitor,Resolved
ALT000365,T011587,A0414,A0394,110960,85.9,HIGH,High Risk Alert,2025-01-01 15:05:00,Manual Review,Resolved
ALT000366,T011665,A0290,A0465,178907,89.0,HIGH,High Risk Alert,2025-01-01 15:06:00,Manual Review,Open
ALT000367,T011681,A0232,A0007,475532,78.5,HIGH,Medium Risk Alert,2025-01-01 15:07:00,Monitor,Under Review
ALT000368,T011712,A0445,A0200,208177,79.0,HIGH,Medium Risk Alert,2025-01-01 15:08:00,Monitor,Resolved
ALT000369,T011761,A0321,A0257,92387,91.25,HIGH,Critical Fraud Alert,2025-01-01 15:09:00,Block Transaction,Open
ALT000370,T011762,A0409,A0079,138869,88.75,HIGH,High Risk Alert,2025-01-01 15:10:00,Manual Review,Open
ALT000371,T011839,A0499,A0108,50301,83.78,HIGH,High Risk Alert,2025-01-01 15:11:00,Manual Review,Open
ALT000372,T011843,A0459,A0087,407082,75.5,HIGH,Medium Risk Alert,2025-01-01 15:12:00,Monitor,Open
ALT000373,T011860,A0243,A0491,81744,94.0,HIGH,Critical Fraud Alert,2025-01-01 15:13:00,Block Transaction,Open
ALT000374,T011892,A0183,A0011,134453,92.0,HIGH,Critical Fraud Alert,2025-01-01 15:14:00,Block Transaction,Open
ALT000375,T011895,A0460,A0079,87451,78.68,HIGH,Medium Risk Alert,2025-01-01 15:15:00,Monitor,Open
ALT000376,T011997,A0411,A0319,489066,76.75,HIGH,Medium Risk Alert,2025-01-01 15:16:00,Monitor,Open
ALT000377,T012004,A0052,A0257,132496,78.45,HIGH,Medium Risk Alert,2025-01-01 15:17:00,Monitor,Open
ALT000378,T012017,A0330,A0177,69581,93.25,HIGH,Critical Fraud Alert,2025-01-01 15:18:00,Block Transaction,Open
ALT000379,T012044,A0398,A0108,244187,89.0,HIGH,High Risk Alert,2025-01-01 15:19:00,Manual Review,Open
ALT000380,T012056,A0265,A0236,124929,79.75,HIGH,Medium Risk Alert,2025-01-01 15:20:00,Monitor,Open
ALT000381,T012083,A0290,A0106,349422,82.5,HIGH,High Risk Alert,2025-01-01 15:21:00,Manual Review,Open
ALT000382,T012084,A0441,A0465,101460,91.0,HIGH,Critical Fraud Alert,2025-01-01 15:22:00,Block Transaction,Open
ALT000383,T012089,A0016,A0227,477022,77.5,HIGH,Medium Risk Alert,2025-01-01 15:23:00,Monitor,Open
ALT000384,T012097,A0102,A0481,248049,77.75,HIGH,Medium Risk Alert,2025-01-01 15:24:00,Monitor,Open
ALT000385,T012282,A0158,A0177,198962,90.75,HIGH,Critical Fraud Alert,2025-01-01 15:25:00,Block Transaction,Open
ALT000386,T012302,A0370,A0380,198257,75.0,HIGH,Medium Risk Alert,2025-01-01 15:26:00,Monitor,Open
ALT000387,T012312,A0361,A0024,94423,89.75,HIGH,High Risk Alert,2025-01-01 15:27:00,Manual Review,Under Review
ALT000388,T012322,A0248,A0483,169859,90.53,HIGH,Critical Fraud Alert,2025-01-01 15:28:00,Block Transaction,Under Review
ALT000389,T012326,A0099,A0055,257413,78.75,HIGH,Medium Risk Alert,2025-01-01 15:29:00,Monitor,Under Review
ALT000390,T012343,A0162,A0238,80148,85.09,HIGH,High Risk Alert,2025-01-01 15:30:00,Manual Review,Resolved
ALT000391,T012387,A0155,A0220,189577,90.0,HIGH,Critical Fraud Alert,2025-01-01 15:31:00,Block Transaction,Under Review
ALT000392,T012431,A0319,A0238,55682,89.5,HIGH,High Risk Alert,2025-01-01 15:32:00,Manual Review,Open
ALT000393,T012531,A0467,A0177,132999,94.75,HIGH,Critical Fraud Alert,2025-01-01 15:33:00,Block Transaction,Under Review
ALT000394,T012550,A0410,A0024,71381,81.74,HIGH,High Risk Alert,2025-01-01 15:34:00,Manual Review,Resolved
ALT000395,T012625,A0258,A0269,113584,80.5,HIGH,High Risk Alert,2025-01-01 15:35:00,Manual Review,Open
ALT000396,T012638,A0255,A0056,484142,91.75,HIGH,Critical Fraud Alert,2025-01-01 15:36:00,Block Transaction,Under Review
ALT000397,T012663,A0030,A0299,109857,90.45,HIGH,Critical Fraud Alert,2025-01-01 15:37:00,Block Transaction,Open
ALT000398,T012716,A0390,A0287,463425,75.5,HIGH,Medium Risk Alert,2025-01-01 15:38:00,Monitor,Open
ALT000399,T012742,A0217,A0243,220458,78.25,HIGH,Medium Risk Alert,2025-01-01 15:39:00,Monitor,Open
ALT000400,T012772,A0222,A0238,167036,93.5,HIGH,Critical Fraud Alert,2025-01-01 15:40:00,Block Transaction,Resolved
ALT000401,T012866,A0367,A0004,131772,84.97,HIGH,High Risk Alert,2025-01-01 15:41:00,Manual Review,Open
ALT000402,T012869,A0186,A0024,137945,90.29,HIGH,Critical Fraud Alert,2025-01-01 15:42:00,Block Transaction,Open
ALT000403,T012928,A0426,A0237,165944,93.25,HIGH,Critical Fraud Alert,2025-01-01 15:43:00,Block Transaction,Open
ALT000404,T012948,A0217,A0347,55289,80.2,HIGH,High Risk Alert,2025-01-01 15:44:00,Manual Review,Under Review
ALT000405,T012973,A0280,A0238,135974,90.5,HIGH,Critical Fraud Alert,2025-01-01 15:45:00,Block Transaction,Open
ALT000406,T013004,A0284,A0465,132859,89.25,HIGH,High Risk Alert,2025-01-01 15:46:00,Manual Review,Under Review
ALT000407,T013041,A0376,A0285,158000,89.0,HIGH,High Risk Alert,2025-01-01 15:47:00,Manual Review,Open
ALT000408,T013050,A0127,A0491,119354,90.25,HIGH,Critical Fraud Alert,2025-01-01 15:48:00,Block Transaction,Open
ALT000409,T013134,A0258,A0177,75402,82.15,HIGH,High Risk Alert,2025-01-01 15:49:00,Manual Review,Open
ALT000410,T013151,A0424,A0328,143371,93.75,HIGH,Critical Fraud Alert,2025-01-01 15:50:00,Block Transaction,Open
ALT000411,T013215,A0478,A0285,95113,84.04,HIGH,High Risk Alert,2025-01-01 15:51:00,Manual Review,Under Review
ALT000412,T013220,A0210,A0065,104293,82.75,HIGH,High Risk Alert,2025-01-01 15:52:00,Manual Review,Open
ALT000413,T013233,A0110,A0065,171081,89.0,HIGH,High Risk Alert,2025-01-01 15:53:00,Manual Review,Under Review
ALT000414,T013271,A0426,A0257,135404,94.25,HIGH,Critical Fraud Alert,2025-01-01 15:54:00,Block Transaction,Under Review
ALT000415,T013396,A0055,A0285,133116,94.25,HIGH,Critical Fraud Alert,2025-01-01 15:55:00,Block Transaction,Open
ALT000416,T013405,A0266,A0447,389605,82.25,HIGH,High Risk Alert,2025-01-01 15:56:00,Manual Review,Open
ALT000417,T013415,A0162,A0067,340518,76.0,HIGH,Medium Risk Alert,2025-01-01 15:57:00,Monitor,Open
ALT000418,T013453,A0198,A0394,126593,88.75,HIGH,High Risk Alert,2025-01-01 15:58:00,Manual Review,Open
ALT000419,T013491,A0181,A0056,90993,83.42,HIGH,High Risk Alert,2025-01-01 15:59:00,Manual Review,Open
ALT000420,T013502,A0119,A0443,110658,82.73,HIGH,High Risk Alert,2025-01-01 16:00:00,Manual Review,Open
ALT000421,T013536,A0498,A0344,133197,89.0,HIGH,High Risk Alert,2025-01-01 16:01:00,Manual Review,Under Review
ALT000422,T013587,A0120,A0447,359051,81.5,HIGH,High Risk Alert,2025-01-01 16:02:00,Manual Review,Under Review
ALT000423,T013605,A0229,A0024,103842,83.63,HIGH,High Risk Alert,2025-01-01 16:03:00,Manual Review,Under Review
ALT000424,T013644,A0345,A0234,65639,75.92,HIGH,Medium Risk Alert,2025-01-01 16:04:00,Monitor,Open
ALT000425,T013665,A0092,A0344,63128,91.0,HIGH,Critical Fraud Alert,2025-01-01 16:05:00,Block Transaction,Under Review
ALT000426,T013674,A0059,A0465,194177,93.25,HIGH,Critical Fraud Alert,2025-01-01 16:06:00,Block Transaction,Open
ALT000427,T013691,A0271,A0177,73875,87.57,HIGH,High Risk Alert,2025-01-01 16:07:00,Manual Review,Under Review
ALT000428,T013706,A0161,A0483,172736,92.5,HIGH,Critical Fraud Alert,2025-01-01 16:08:00,Block Transaction,Open
ALT000429,T013709,A0232,A0443,154634,92.77,HIGH,Critical Fraud Alert,2025-01-01 16:09:00,Block Transaction,Open
ALT000430,T013730,A0043,A0088,160640,92.5,HIGH,Critical Fraud Alert,2025-01-01 16:10:00,Block Transaction,Resolved
ALT000431,T013738,A0127,A0079,55575,79.34,HIGH,Medium Risk Alert,2025-01-01 16:11:00,Monitor,Open
ALT000432,T013779,A0475,A0177,139938,89.75,HIGH,High Risk Alert,2025-01-01 16:12:00,Manual Review,Open
ALT000433,T013791,A0343,A0257,177672,89.5,HIGH,High Risk Alert,2025-01-01 16:13:00,Manual Review,Open
ALT000434,T013848,A0228,A0011,198002,89.75,HIGH,High Risk Alert,2025-01-01 16:14:00,Manual Review,Resolved
ALT000435,T013878,A0249,A0433,69094,84.33,HIGH,High Risk Alert,2025-01-01 16:15:00,Manual Review,Open
ALT000436,T013935,A0401,A0373,166262,81.25,HIGH,High Risk Alert,2025-01-01 16:16:00,Manual Review,Under Review
ALT000437,T013982,A0219,A0177,138695,89.25,HIGH,High Risk Alert,2025-01-01 16:17:00,Manual Review,Under Review
ALT000438,T013989,A0416,A0308,88232,93.5,HIGH,Critical Fraud Alert,2025-01-01 16:18:00,Block Transaction,Open
ALT000439,T014046,A0331,A0238,162540,93.75,HIGH,Critical Fraud Alert,2025-01-01 16:19:00,Block Transaction,Open
ALT000440,T014095,A0051,A0238,108717,91.75,HIGH,Critical Fraud Alert,2025-01-01 16:20:00,Block Transaction,Resolved
ALT000441,T014131,A0236,A0254,89869,82.87,HIGH,High Risk Alert,2025-01-01 16:21:00,Manual Review,Open
ALT000442,T014134,A0112,A0344,122605,91.54,HIGH,Critical Fraud Alert,2025-01-01 16:22:00,Block Transaction,Open
ALT000443,T014194,A0021,A0353,116512,94.75,HIGH,Critical Fraud Alert,2025-01-01 16:23:00,Block Transaction,Open
