pattern_type,sender_account,receiver_account,pattern_strength,detected_time,risk_level,description
Fan-In,,A0283,76,,HIGH,Receiver accepted money from 76 unique senders
Fan-In,,A0284,67,,HIGH,Receiver accepted money from 67 unique senders
Fan-In,,A0285,75,,HIGH,Receiver accepted money from 75 unique senders
Fan-In,,A0286,58,,HIGH,Receiver accepted money from 58 unique senders
Fan-In,,A0287,79,,HIGH,Receiver accepted money from 79 unique senders
Fan-In,,A0288,153,,HIGH,Receiver accepted money from 153 unique senders
Fan-In,,A0289,81,,HIGH,Receiver accepted money from 81 unique senders
Fan-In,,A0290,81,,HIGH,Receiver accepted money from 81 unique senders
Fan-In,,A0291,129,,HIGH,Receiver accepted money from 129 unique senders
Fan-In,,A0292,74,,HIGH,Receiver accepted money from 74 unique senders
Fan-In,,A0293,84,,HIGH,Receiver accepted money from 84 unique senders
Fan-In,,A0294,150,,HIGH,Receiver accepted money from 150 unique senders
Fan-In,,A0295,73,,HIGH,Receiver accepted money from 73 unique senders
Fan-In,,A0296,73,,HIGH,Receiver accepted money from 73 unique senders
Fan-In,,A0297,88,,HIGH,Receiver accepted money from 88 unique senders
Fan-In,,A0298,71,,HIGH,Receiver accepted money from 71 unique senders
Fan-In,,A0299,81,,HIGH,Receiver accepted money from 81 unique senders
Fan-In,,A0300,73,,HIGH,Receiver accepted money from 73 unique senders
Fan-In,,A0301,58,,HIGH,Receiver accepted money from 58 unique senders
Fan-In,,A0302,63,,HIGH,Receiver accepted money from 63 unique senders
Fan-In,,A0303,66,,HIGH,Receiver accepted money from 66 unique senders
Fan-In,,A0304,69,,HIGH,Receiver accepted money from 69 unique senders
Fan-In,,A0305,74,,HIGH,Receiver accepted money from 74 unique senders
Fan-In,,A0306,81,,HIGH,Receiver accepted money from 81 unique senders
Fan-In,,A0307,63,,HIGH,Receiver accepted money from 63 unique senders
Fan-In,,A0308,72,,HIGH,Receiver accepted money from 72 unique senders
Fan-In,,A0309,181,,HIGH,Receiver accepted money from 181 unique senders
Fan-In,,A0310,65,,HIGH,Receiver accepted money from 65 unique senders
Fan-In,,A0311,91,,HIGH,Receiver accepted money from 91 unique senders
Fan-In,,A0312,85,,HIGH,Receiver accepted money from 85 unique senders
Fan-In,,A0313,84,,HIGH,Receiver accepted money from 84 unique senders
Fan-In,,A0314,74,,HIGH,Receiver accepted money from 74 unique senders
Fan-In,,A0315,148,,HIGH,Receiver accepted money from 148 unique senders
Fan-In,,A0316,65,,HIGH,Receiver accepted money from 65 unique senders
Fan-In,,A0317,69,,HIGH,Receiver accepted money from 69 unique senders
Fan-In,,A0318,77,,HIGH,Receiver accepted money from 77 unique senders
Fan-In,,A0319,137,,HIGH,Receiver accepted money from 137 unique senders
Fan-In,,A0320,56,,HIGH,Receiver accepted money from 56 unique senders
Fan-In,,A0321,145,,HIGH,Receiver accepted money from 145 unique senders
Fan-In,,A0322,85,,HIGH,Receiver accepted money from 85 unique senders
Fan-In,,A0323,60,,HIGH,Receiver accepted money from 60 unique senders
Fan-In,,A0324,63,,HIGH,Receiver accepted money from 63 unique senders
Fan-In,,A0325,71,,HIGH,Receiver accepted money from 71 unique senders
Fan-In,,A0326,139,,HIGH,Receiver accepted money from 139 unique senders
Fan-In,,A0327,80,,HIGH,Receiver accepted money from 80 unique senders
Fan-In,,A0328,82,,HIGH,Receiver accepted money from 82 unique senders
Fan-In,,A0329,68,,HIGH,Receiver accepted money from 68 unique senders
Fan-In,,A0330,80,,HIGH,Receiver accepted money from 80 unique senders
Fan-In,,A0331,61,,HIGH,Receiver accepted money from 61 unique senders
Fan-In,,A0332,73,,HIGH,Receiver accepted money from 73 unique senders
Fan-In,,A0333,84,,HIGH,Receiver accepted money from 84 unique senders
Fan-In,,A0334,78,,HIGH,Receiver accepted money from 78 unique senders
Fan-In,,A0335,169,,HIGH,Receiver accepted money from 169 unique senders
Fan-In,,A0336,65,,HIGH,Receiver accepted money from 65 unique senders
Fan-In,,A0337,79,,HIGH,Receiver accepted money from 79 unique senders
Fan-In,,A0338,68,,HIGH,Receiver accepted money from 68 unique senders
Fan-In,,A0339,68,,HIGH,Receiver accepted money from 68 unique senders
Fan-In,,A0340,81,,HIGH,Receiver accepted money from 81 unique senders
Fan-In,,A0341,156,,HIGH,Receiver accepted money from 156 unique senders
Fan-In,,A0342,70,,HIGH,Receiver accepted money from 70 unique senders
Fan-In,,A0343,81,,HIGH,Receiver accepted money from 81 unique senders
Fan-In,,A0344,76,,HIGH,Receiver accepted money from 76 unique senders
Fan-In,,A0345,58,,HIGH,Receiver accepted money from 58 unique senders
Fan-In,,A0346,70,,HIGH,Receiver accepted money from 70 unique senders
Fan-In,,A0347,60,,HIGH,Receiver accepted money from 60 unique senders
Fan-In,,A0348,80,,HIGH,Receiver accepted money from 80 unique senders
Fan-In,,A0349,87,,HIGH,Receiver accepted money from 87 unique senders
Fan-In,,A0350,82,,HIGH,Receiver accepted money from 82 unique senders
Fan-In,,A0351,131,,HIGH,Receiver accepted money from 131 unique senders
Fan-In,,A0352,81,,HIGH,Receiver accepted money from 81 unique senders
Fan-In,,A0353,77,,HIGH,Receiver accepted money from 77 unique senders
Fan-In,,A0354,72,,HIGH,Receiver accepted money from 72 unique senders
Fan-In,,A0355,64,,HIGH,Receiver accepted money from 64 unique senders
Fan-In,,A0356,59,,HIGH,Receiver accepted money from 59 unique senders
Fan-In,,A0357,81,,HIGH,Receiver accepted money from 81 unique senders
Fan-In,,A0358,84,,HIGH,Receiver accepted money from 84 unique senders
Fan-In,,A0359,63,,HIGH,Receiver accepted money from 63 unique senders
Fan-In,,A0360,68,,HIGH,Receiver accepted money from 68 unique senders
Fan-In,,A0361,67,,HIGH,Receiver accepted money from 67 unique senders
Fan-In,,A0362,71,,HIGH,Receiver accepted money from 71 unique senders
Fan-In,,A0363,76,,HIGH,Receiver accepted money from 76 unique senders
Fan-In,,A0364,75,,HIGH,Receiver accepted money from 75 unique senders
Fan-In,,A0365,81,,HIGH,Receiver accepted money from 81 unique senders
Fan-In,,A0366,85,,HIGH,Receiver accepted money from 85 unique senders
Fan-In,,A0367,73,,HIGH,Receiver accepted money from 73 unique senders
Fan-In,,A0368,63,,HIGH,Receiver accepted money from 63 unique senders
Fan-In,,A0369,72,,HIGH,Receiver accepted money from 72 unique senders
Fan-In,,A0370,59,,HIGH,Receiver accepted money from 59 unique senders
Fan-In,,A0371,81,,HIGH,Receiver accepted money from 81 unique senders
Fan-In,,A0372,62,,HIGH,Receiver accepted money from 62 unique senders
Fan-In,,A0373,175,,HIGH,Receiver accepted money from 175 unique senders
Fan-In,,A0374,160,,HIGH,Receiver accepted money from 160 unique senders
Fan-In,,A0375,155,,HIGH,Receiver accepted money from 155 unique senders
Fan-In,,A0376,67,,HIGH,Receiver accepted money from 67 unique senders
Fan-In,,A0377,87,,HIGH,Receiver accepted money from 87 unique senders
Fan-In,,A0378,81,,HIGH,Receiver accepted money from 81 unique senders
Fan-In,,A0379,87,,HIGH,Receiver accepted money from 87 unique senders
Fan-In,,A0380,70,,HIGH,Receiver accepted money from 70 unique senders
Fan-In,,A0381,90,,HIGH,Receiver accepted money from 90 unique senders
Fan-In,,A0382,71,,HIGH,Receiver accepted money from 71 unique senders
Fan-In,,A0383,72,,HIGH,Receiver accepted money from 72 unique senders
Fan-In,,A0384,143,,HIGH,Receiver accepted money from 143 unique senders
Fan-In,,A0385,75,,HIGH,Receiver accepted money from 75 unique senders
Fan-In,,A0386,75,,HIGH,Receiver accepted money from 75 unique senders
Fan-In,,A0387,84,,HIGH,Receiver accepted money from 84 unique senders
Fan-In,,A0388,75,,HIGH,Receiver accepted money from 75 unique senders
Fan-In,,A0389,80,,HIGH,Receiver accepted money from 80 unique senders
Fan-In,,A0390,70,,HIGH,Receiver accepted money from 70 unique senders
Fan-In,,A0391,92,,HIGH,Receiver accepted money from 92 unique senders
Fan-In,,A0392,82,,HIGH,Receiver accepted money from 82 unique senders
Fan-In,,A0393,71,,HIGH,Receiver accepted money from 71 unique senders
Fan-In,,A0394,148,,HIGH,Receiver accepted money from 148 unique senders
Fan-In,,A0395,90,,HIGH,Receiver accepted money from 90 unique senders
Fan-In,,A0396,164,,HIGH,Receiver accepted money from 164 unique senders
Fan-In,,A0397,72,,HIGH,Receiver accepted money from 72 unique senders
Fan-In,,A0398,74,,HIGH,Receiver accepted money from 74 unique senders
Fan-In,,A0399,86,,HIGH,Receiver accepted money from 86 unique senders
Fan-In,,A0400,75,,HIGH,Receiver accepted money from 75 unique senders
Fan-In,,A0401,58,,HIGH,Receiver accepted money from 58 unique senders
Fan-In,,A0402,74,,HIGH,Receiver accepted money from 74 unique senders
Fan-In,,A0403,70,,HIGH,Receiver accepted money from 70 unique senders
Fan-In,,A0404,64,,HIGH,Receiver accepted money from 64 unique senders
Fan-In,,A0405,80,,HIGH,Receiver accepted money from 80 unique senders
Fan-In,,A0406,146,,HIGH,Receiver accepted money from 146 unique senders
Fan-In,,A0407,75,,HIGH,Receiver accepted money from 75 unique senders
Fan-In,,A0408,61,,HIGH,Receiver accepted money from 61 unique senders
Fan-In,,A0409,160,,HIGH,Receiver accepted money from 160 unique senders
Fan-In,,A0410,58,,HIGH,Receiver accepted money from 58 unique senders
Fan-In,,A0411,71,,HIGH,Receiver accepted money from 71 unique senders
Fan-In,,A0412,71,,HIGH,Receiver accepted money from 71 unique senders
Fan-In,,A0413,74,,HIGH,Receiver accepted money from 74 unique senders
Fan-In,,A0414,72,,HIGH,Receiver accepted money from 72 unique senders
Fan-In,,A0415,71,,HIGH,Receiver accepted money from 71 unique senders
Fan-In,,A0416,75,,HIGH,Receiver accepted money from 75 unique senders
Fan-In,,A0417,81,,HIGH,Receiver accepted money from 81 unique senders
Fan-In,,A0418,86,,HIGH,Receiver accepted money from 86 unique senders
Fan-In,,A0419,78,,HIGH,Receiver accepted money from 78 unique senders
Fan-In,,A0420,68,,HIGH,Receiver accepted money from 68 unique senders
Fan-In,,A0421,70,,HIGH,Receiver accepted money from 70 unique senders
Fan-In,,A0422,70,,HIGH,Receiver accepted money from 70 unique senders
Fan-In,,A0423,77,,HIGH,Receiver accepted money from 77 unique senders
Fan-In,,A0424,85,,HIGH,Receiver accepted money from 85 unique senders
Fan-In,,A0425,158,,HIGH,Receiver accepted money from 158 unique senders
Fan-In,,A0426,142,,HIGH,Receiver accepted money from 142 unique senders
Fan-In,,A0427,69,,HIGH,Receiver accepted money from 69 unique senders
Fan-In,,A0428,84,,HIGH,Receiver accepted money from 84 unique senders
Fan-In,,A0429,92,,HIGH,Receiver accepted money from 92 unique senders
Fan-In,,A0430,71,,HIGH,Receiver accepted money from 71 unique senders
Fan-In,,A0431,148,,HIGH,Receiver accepted money from 148 unique senders
Fan-In,,A0432,77,,HIGH,Receiver accepted money from 77 unique senders
Fan-In,,A0433,85,,HIGH,Receiver accepted money from 85 unique senders
Fan-In,,A0434,84,,HIGH,Receiver accepted money from 84 unique senders
Fan-In,,A0435,124,,HIGH,Receiver accepted money from 124 unique senders
Fan-In,,A0436,86,,HIGH,Receiver accepted money from 86 unique senders
Fan-In,,A0437,86,,HIGH,Receiver accepted money from 86 unique senders
Fan-In,,A0438,69,,HIGH,Receiver accepted money from 69 unique senders
Fan-In,,A0439,75,,HIGH,Receiver accepted money from 75 unique senders
Fan-In,,A0440,155,,HIGH,Receiver accepted money from 155 unique senders
Fan-In,,A0441,65,,HIGH,Receiver accepted money from 65 unique senders
Fan-In,,A0442,71,,HIGH,Receiver accepted money from 71 unique senders
Fan-In,,A0443,77,,HIGH,Receiver accepted money from 77 unique senders
Fan-In,,A0444,76,,HIGH,Receiver accepted money from 76 unique senders
Fan-In,,A0445,156,,HIGH,Receiver accepted money from 156 unique senders
Fan-In,,A0446,84,,HIGH,Receiver accepted money from 84 unique senders
Fan-In,,A0447,180,,HIGH,Receiver accepted money from 180 unique senders
Fan-In,,A0448,97,,HIGH,Receiver accepted money from 97 unique senders
Fan-In,,A0449,72,,HIGH,Receiver accepted money from 72 unique senders
Fan-In,,A0450,69,,HIGH,Receiver accepted money from 69 unique senders
Fan-In,,A0451,64,,HIGH,Receiver accepted money from 64 unique senders
Fan-In,,A0452,78,,HIGH,Receiver accepted money from 78 unique senders
Fan-In,,A0453,69,,HIGH,Receiver accepted money from 69 unique senders
Fan-In,,A0454,154,,HIGH,Receiver accepted money from 154 unique senders
Fan-In,,A0455,75,,HIGH,Receiver accepted money from 75 unique senders
Fan-In,,A0456,75,,HIGH,Receiver accepted money from 75 unique senders
Fan-In,,A0457,63,,HIGH,Receiver accepted money from 63 unique senders
Fan-In,,A0458,155,,HIGH,Receiver accepted money from 155 unique senders
Fan-In,,A0459,92,,HIGH,Receiver accepted money from 92 unique senders
Fan-In,,A0460,77,,HIGH,Receiver accepted money from 77 unique senders
Fan-In,,A0461,65,,HIGH,Receiver accepted money from 65 unique senders
Fan-In,,A0462,79,,HIGH,Receiver accepted money from 79 unique senders
Fan-In,,A0463,75,,HIGH,Receiver accepted money from 75 unique senders
Fan-In,,A0464,74,,HIGH,Receiver accepted money from 74 unique senders
Fan-In,,A0465,64,,HIGH,Receiver accepted money from 64 unique senders
Fan-In,,A0466,71,,HIGH,Receiver accepted money from 71 unique senders
Fan-In,,A0467,81,,HIGH,Receiver accepted money from 81 unique senders
Fan-In,,A0468,74,,HIGH,Receiver accepted money from 74 unique senders
Fan-In,,A0469,65,,HIGH,Receiver accepted money from 65 unique senders
Fan-In,,A0470,161,,HIGH,Receiver accepted money from 161 unique senders
Fan-In,,A0471,84,,HIGH,Receiver accepted money from 84 unique senders
Fan-In,,A0472,158,,HIGH,Receiver accepted money from 158 unique senders
Fan-In,,A0473,124,,HIGH,Receiver accepted money from 124 unique senders
Fan-In,,A0474,75,,HIGH,Receiver accepted money from 75 unique senders
Fan-In,,A0475,132,,HIGH,Receiver accepted money from 132 unique senders
Fan-In,,A0476,67,,HIGH,Receiver accepted money from 67 unique senders
Fan-In,,A0477,69,,HIGH,Receiver accepted money from 69 unique senders
Fan-In,,A0478,62,,HIGH,Receiver accepted money from 62 unique senders
Fan-In,,A0479,74,,HIGH,Receiver accepted money from 74 unique senders
Fan-In,,A0480,76,,HIGH,Receiver accepted money from 76 unique senders
Fan-In,,A0481,171,,HIGH,Receiver accepted money from 171 unique senders
Fan-In,,A0482,123,,HIGH,Receiver accepted money from 123 unique senders
Fan-In,,A0483,66,,HIGH,Receiver accepted money from 66 unique senders
Fan-In,,A0484,166,,HIGH,Receiver accepted money from 166 unique senders
Fan-In,,A0485,69,,HIGH,Receiver accepted money from 69 unique senders
Fan-In,,A0486,73,,HIGH,Receiver accepted money from 73 unique senders
Fan-In,,A0487,66,,HIGH,Receiver accepted money from 66 unique senders
Fan-In,,A0488,65,,HIGH,Receiver accepted money from 65 unique senders
Fan-In,,A0489,68,,HIGH,Receiver accepted money from 68 unique senders
Fan-In,,A0490,84,,HIGH,Receiver accepted money from 84 unique senders
Fan-In,,A0491,72,,HIGH,Receiver accepted money from 72 unique senders
Fan-In,,A0492,65,,HIGH,Receiver accepted money from 65 unique senders
Fan-In,,A0493,72,,HIGH,Receiver accepted money from 72 unique senders
Fan-In,,A0494,87,,HIGH,Receiver accepted money from 87 unique senders
Fan-In,,A0495,83,,HIGH,Receiver accepted money from 83 unique senders
Fan-In,,A0496,77,,HIGH,Receiver accepted money from 77 unique senders
Fan-In,,A0497,72,,HIGH,Receiver accepted money from 72 unique senders
Fan-In,,A0498,73,,HIGH,Receiver accepted money from 73 unique senders
Fan-In,,A0499,76,,HIGH,Receiver accepted money from 76 unique senders
Fan-In,,A0500,80,,HIGH,Receiver accepted money from 80 unique senders
Circular Transfer,A0294,A0325,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0219,A0187,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0378,A0114,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0473,A0140,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0331,A0264,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0041,A0279,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0479,A0233,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0493,A0274,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0069,A0426,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0199,A0062,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0143,A0258,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0454,A0067,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0410,A0347,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0252,A0303,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0384,A0130,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0105,A0443,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0139,A0434,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0444,A0487,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0040,A0004,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0040,A0260,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0189,A0254,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0203,A0196,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0094,A0104,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0148,A0326,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0006,A0297,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0175,A0411,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0178,A0141,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0319,A0082,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0374,A0123,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0451,A0374,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0194,A0196,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0498,A0140,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0075,A0475,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0252,A0330,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0254,A0257,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0120,A0126,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0199,A0469,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0068,A0046,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0188,A0388,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0080,A0100,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0197,A0330,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0454,A0154,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0396,A0491,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0431,A0466,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0035,A0056,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0086,A0075,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0244,A0461,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0204,A0016,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0341,A0416,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0206,A0218,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0099,A0052,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0426,A0496,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0200,A0321,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0063,A0242,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0159,A0158,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0184,A0312,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0339,A0389,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0071,A0073,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0234,A0446,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0282,A0117,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0110,A0192,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0310,A0495,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0424,A0494,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0430,A0078,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0120,A0174,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0488,A0293,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0053,A0326,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0488,A0183,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0003,A0151,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0403,A0283,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0288,A0436,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0378,A0194,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0042,A0264,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0273,A0038,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0174,A0360,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0323,A0120,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0315,A0316,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0089,A0231,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0472,A0119,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0394,A0250,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0075,A0486,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0236,A0187,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0195,A0148,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0258,A0056,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0270,A0092,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0262,A0399,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0028,A0245,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0053,A0079,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0437,A0171,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0300,A0067,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0009,A0246,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0494,A0191,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0142,A0103,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0050,A0414,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0412,A0486,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0481,A0150,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0286,A0452,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0145,A0002,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0048,A0356,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0422,A0131,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0273,A0444,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0127,A0085,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0352,A0038,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0137,A0236,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0120,A0398,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0358,A0143,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0242,A0409,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0312,A0198,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0498,A0031,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0418,A0135,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0057,A0227,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0436,A0306,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0434,A0490,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0104,A0303,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0433,A0145,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0096,A0201,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0272,A0318,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0192,A0270,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0466,A0074,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0370,A0292,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0147,A0201,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0056,A0366,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0058,A0443,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0116,A0348,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0059,A0024,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0282,A0007,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0074,A0239,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0472,A0088,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0313,A0488,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0402,A0154,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0104,A0473,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0032,A0431,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0155,A0409,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0178,A0305,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0019,A0168,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0448,A0028,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0293,A0202,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0386,A0354,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0494,A0010,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0024,A0076,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0185,A0125,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0413,A0090,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0499,A0481,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0391,A0079,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0079,A0268,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0346,A0053,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0098,A0335,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0110,A0475,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0476,A0378,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0351,A0388,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0283,A0200,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0185,A0131,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0417,A0261,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0279,A0348,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0161,A0045,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0470,A0425,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0288,A0042,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0091,A0035,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0075,A0474,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0447,A0085,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0465,A0141,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0251,A0353,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0479,A0277,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0184,A0030,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0378,A0032,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0459,A0050,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0007,A0257,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0096,A0243,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0351,A0321,2,,HIGH,Bi-directional money flow detected
