id,pattern_type,sender_account,receiver_account,pattern_strength,detected_time,risk_level,description
655,Fan-In,,A0155,73,,HIGH,Receiver accepted money from 73 unique senders
656,Fan-In,,A0156,84,,HIGH,Receiver accepted money from 84 unique senders
657,Fan-In,,A0157,153,,HIGH,Receiver accepted money from 153 unique senders
658,Fan-In,,A0158,128,,HIGH,Receiver accepted money from 128 unique senders
659,Fan-In,,A0159,64,,HIGH,Receiver accepted money from 64 unique senders
660,Fan-In,,A0160,70,,HIGH,Receiver accepted money from 70 unique senders
661,Fan-In,,A0161,67,,HIGH,Receiver accepted money from 67 unique senders
662,Fan-In,,A0162,89,,HIGH,Receiver accepted money from 89 unique senders
663,Fan-In,,A0163,68,,HIGH,Receiver accepted money from 68 unique senders
664,Fan-In,,A0164,71,,HIGH,Receiver accepted money from 71 unique senders
665,Fan-In,,A0165,79,,HIGH,Receiver accepted money from 79 unique senders
666,Fan-In,,A0166,64,,HIGH,Receiver accepted money from 64 unique senders
667,Fan-In,,A0167,66,,HIGH,Receiver accepted money from 66 unique senders
668,Fan-In,,A0168,121,,HIGH,Receiver accepted money from 121 unique senders
669,Fan-In,,A0169,85,,HIGH,Receiver accepted money from 85 unique senders
670,Fan-In,,A0170,66,,HIGH,Receiver accepted money from 66 unique senders
671,Fan-In,,A0171,66,,HIGH,Receiver accepted money from 66 unique senders
672,Fan-In,,A0172,76,,HIGH,Receiver accepted money from 76 unique senders
673,Fan-In,,A0173,64,,HIGH,Receiver accepted money from 64 unique senders
674,Fan-In,,A0174,69,,HIGH,Receiver accepted money from 69 unique senders
675,Fan-In,,A0175,122,,HIGH,Receiver accepted money from 122 unique senders
676,Fan-In,,A0176,72,,HIGH,Receiver accepted money from 72 unique senders
677,Fan-In,,A0177,71,,HIGH,Receiver accepted money from 71 unique senders
678,Fan-In,,A0178,70,,HIGH,Receiver accepted money from 70 unique senders
679,Fan-In,,A0179,82,,HIGH,Receiver accepted money from 82 unique senders
680,Fan-In,,A0180,74,,HIGH,Receiver accepted money from 74 unique senders
681,Fan-In,,A0181,66,,HIGH,Receiver accepted money from 66 unique senders
682,Fan-In,,A0182,70,,HIGH,Receiver accepted money from 70 unique senders
683,Fan-In,,A0183,96,,HIGH,Receiver accepted money from 96 unique senders
684,Fan-In,,A0184,155,,HIGH,Receiver accepted money from 155 unique senders
685,Fan-In,,A0185,71,,HIGH,Receiver accepted money from 71 unique senders
686,Fan-In,,A0186,73,,HIGH,Receiver accepted money from 73 unique senders
687,Fan-In,,A0187,169,,HIGH,Receiver accepted money from 169 unique senders
688,Fan-In,,A0188,140,,HIGH,Receiver accepted money from 140 unique senders
689,Fan-In,,A0189,60,,HIGH,Receiver accepted money from 60 unique senders
690,Fan-In,,A0190,79,,HIGH,Receiver accepted money from 79 unique senders
691,Fan-In,,A0191,148,,HIGH,Receiver accepted money from 148 unique senders
692,Fan-In,,A0192,158,,HIGH,Receiver accepted money from 158 unique senders
693,Fan-In,,A0193,66,,HIGH,Receiver accepted money from 66 unique senders
694,Fan-In,,A0194,84,,HIGH,Receiver accepted money from 84 unique senders
695,Fan-In,,A0195,66,,HIGH,Receiver accepted money from 66 unique senders
696,Fan-In,,A0196,70,,HIGH,Receiver accepted money from 70 unique senders
697,Fan-In,,A0197,73,,HIGH,Receiver accepted money from 73 unique senders
698,Fan-In,,A0198,108,,HIGH,Receiver accepted money from 108 unique senders
699,Fan-In,,A0199,74,,HIGH,Receiver accepted money from 74 unique senders
700,Fan-In,,A0200,150,,HIGH,Receiver accepted money from 150 unique senders
701,Fan-In,,A0201,76,,HIGH,Receiver accepted money from 76 unique senders
702,Fan-In,,A0202,82,,HIGH,Receiver accepted money from 82 unique senders
703,Fan-In,,A0203,80,,HIGH,Receiver accepted money from 80 unique senders
704,Fan-In,,A0204,64,,HIGH,Receiver accepted money from 64 unique senders
705,Fan-In,,A0205,164,,HIGH,Receiver accepted money from 164 unique senders
706,Fan-In,,A0206,72,,HIGH,Receiver accepted money from 72 unique senders
707,Fan-In,,A0207,75,,HIGH,Receiver accepted money from 75 unique senders
708,Fan-In,,A0208,71,,HIGH,Receiver accepted money from 71 unique senders
709,Fan-In,,A0209,83,,HIGH,Receiver accepted money from 83 unique senders
710,Fan-In,,A0210,90,,HIGH,Receiver accepted money from 90 unique senders
711,Fan-In,,A0211,139,,HIGH,Receiver accepted money from 139 unique senders
712,Fan-In,,A0212,71,,HIGH,Receiver accepted money from 71 unique senders
713,Fan-In,,A0213,79,,HIGH,Receiver accepted money from 79 unique senders
714,Fan-In,,A0214,77,,HIGH,Receiver accepted money from 77 unique senders
715,Fan-In,,A0215,67,,HIGH,Receiver accepted money from 67 unique senders
716,Fan-In,,A0216,58,,HIGH,Receiver accepted money from 58 unique senders
717,Fan-In,,A0217,57,,HIGH,Receiver accepted money from 57 unique senders
718,Fan-In,,A0218,74,,HIGH,Receiver accepted money from 74 unique senders
719,Fan-In,,A0219,76,,HIGH,Receiver accepted money from 76 unique senders
720,Fan-In,,A0220,80,,HIGH,Receiver accepted money from 80 unique senders
721,Fan-In,,A0221,76,,HIGH,Receiver accepted money from 76 unique senders
722,Fan-In,,A0222,108,,HIGH,Receiver accepted money from 108 unique senders
723,Fan-In,,A0223,83,,HIGH,Receiver accepted money from 83 unique senders
724,Fan-In,,A0224,75,,HIGH,Receiver accepted money from 75 unique senders
725,Fan-In,,A0225,72,,HIGH,Receiver accepted money from 72 unique senders
726,Fan-In,,A0226,73,,HIGH,Receiver accepted money from 73 unique senders
727,Fan-In,,A0227,153,,HIGH,Receiver accepted money from 153 unique senders
728,Fan-In,,A0228,66,,HIGH,Receiver accepted money from 66 unique senders
729,Fan-In,,A0229,73,,HIGH,Receiver accepted money from 73 unique senders
730,Fan-In,,A0230,69,,HIGH,Receiver accepted money from 69 unique senders
731,Fan-In,,A0231,88,,HIGH,Receiver accepted money from 88 unique senders
732,Fan-In,,A0232,71,,HIGH,Receiver accepted money from 71 unique senders
733,Fan-In,,A0233,79,,HIGH,Receiver accepted money from 79 unique senders
734,Fan-In,,A0234,82,,HIGH,Receiver accepted money from 82 unique senders
735,Fan-In,,A0235,75,,HIGH,Receiver accepted money from 75 unique senders
736,Fan-In,,A0236,167,,HIGH,Receiver accepted money from 167 unique senders
737,Fan-In,,A0237,87,,HIGH,Receiver accepted money from 87 unique senders
738,Fan-In,,A0238,150,,HIGH,Receiver accepted money from 150 unique senders
739,Fan-In,,A0239,83,,HIGH,Receiver accepted money from 83 unique senders
740,Fan-In,,A0240,137,,HIGH,Receiver accepted money from 137 unique senders
741,Fan-In,,A0241,61,,HIGH,Receiver accepted money from 61 unique senders
742,Fan-In,,A0242,96,,HIGH,Receiver accepted money from 96 unique senders
743,Fan-In,,A0243,75,,HIGH,Receiver accepted money from 75 unique senders
744,Fan-In,,A0244,69,,HIGH,Receiver accepted money from 69 unique senders
745,Fan-In,,A0245,150,,HIGH,Receiver accepted money from 150 unique senders
746,Fan-In,,A0246,71,,HIGH,Receiver accepted money from 71 unique senders
747,Fan-In,,A0247,70,,HIGH,Receiver accepted money from 70 unique senders
748,Fan-In,,A0248,63,,HIGH,Receiver accepted money from 63 unique senders
749,Fan-In,,A0249,148,,HIGH,Receiver accepted money from 148 unique senders
750,Fan-In,,A0250,91,,HIGH,Receiver accepted money from 91 unique senders
751,Fan-In,,A0251,71,,HIGH,Receiver accepted money from 71 unique senders
752,Fan-In,,A0252,174,,HIGH,Receiver accepted money from 174 unique senders
753,Fan-In,,A0253,83,,HIGH,Receiver accepted money from 83 unique senders
754,Fan-In,,A0254,84,,HIGH,Receiver accepted money from 84 unique senders
755,Fan-In,,A0255,72,,HIGH,Receiver accepted money from 72 unique senders
756,Fan-In,,A0256,83,,HIGH,Receiver accepted money from 83 unique senders
757,Fan-In,,A0257,155,,HIGH,Receiver accepted money from 155 unique senders
758,Fan-In,,A0258,74,,HIGH,Receiver accepted money from 74 unique senders
759,Fan-In,,A0259,73,,HIGH,Receiver accepted money from 73 unique senders
760,Fan-In,,A0260,72,,HIGH,Receiver accepted money from 72 unique senders
761,Fan-In,,A0261,73,,HIGH,Receiver accepted money from 73 unique senders
762,Fan-In,,A0262,88,,HIGH,Receiver accepted money from 88 unique senders
763,Fan-In,,A0263,90,,HIGH,Receiver accepted money from 90 unique senders
764,Fan-In,,A0264,72,,HIGH,Receiver accepted money from 72 unique senders
765,Fan-In,,A0265,184,,HIGH,Receiver accepted money from 184 unique senders
766,Fan-In,,A0266,77,,HIGH,Receiver accepted money from 77 unique senders
767,Fan-In,,A0267,86,,HIGH,Receiver accepted money from 86 unique senders
768,Fan-In,,A0268,157,,HIGH,Receiver accepted money from 157 unique senders
769,Fan-In,,A0269,156,,HIGH,Receiver accepted money from 156 unique senders
770,Fan-In,,A0270,69,,HIGH,Receiver accepted money from 69 unique senders
771,Fan-In,,A0271,139,,HIGH,Receiver accepted money from 139 unique senders
772,Fan-In,,A0272,78,,HIGH,Receiver accepted money from 78 unique senders
773,Fan-In,,A0273,85,,HIGH,Receiver accepted money from 85 unique senders
774,Fan-In,,A0274,84,,HIGH,Receiver accepted money from 84 unique senders
775,Fan-In,,A0275,80,,HIGH,Receiver accepted money from 80 unique senders
776,Fan-In,,A0276,79,,HIGH,Receiver accepted money from 79 unique senders
777,Fan-In,,A0277,84,,HIGH,Receiver accepted money from 84 unique senders
778,Fan-In,,A0278,166,,HIGH,Receiver accepted money from 166 unique senders
779,Fan-In,,A0279,125,,HIGH,Receiver accepted money from 125 unique senders
780,Fan-In,,A0280,70,,HIGH,Receiver accepted money from 70 unique senders
781,Fan-In,,A0281,68,,HIGH,Receiver accepted money from 68 unique senders
782,Fan-In,,A0282,153,,HIGH,Receiver accepted money from 153 unique senders
783,Fan-In,,A0283,76,,HIGH,Receiver accepted money from 76 unique senders
784,Fan-In,,A0284,67,,HIGH,Receiver accepted money from 67 unique senders
785,Fan-In,,A0285,75,,HIGH,Receiver accepted money from 75 unique senders
786,Fan-In,,A0286,58,,HIGH,Receiver accepted money from 58 unique senders
787,Fan-In,,A0287,79,,HIGH,Receiver accepted money from 79 unique senders
788,Fan-In,,A0288,153,,HIGH,Receiver accepted money from 153 unique senders
789,Fan-In,,A0289,81,,HIGH,Receiver accepted money from 81 unique senders
790,Fan-In,,A0290,81,,HIGH,Receiver accepted money from 81 unique senders
791,Fan-In,,A0291,129,,HIGH,Receiver accepted money from 129 unique senders
792,Fan-In,,A0292,74,,HIGH,Receiver accepted money from 74 unique senders
793,Fan-In,,A0293,84,,HIGH,Receiver accepted money from 84 unique senders
794,Fan-In,,A0294,150,,HIGH,Receiver accepted money from 150 unique senders
795,Fan-In,,A0295,73,,HIGH,Receiver accepted money from 73 unique senders
796,Fan-In,,A0296,73,,HIGH,Receiver accepted money from 73 unique senders
797,Fan-In,,A0297,88,,HIGH,Receiver accepted money from 88 unique senders
798,Fan-In,,A0298,71,,HIGH,Receiver accepted money from 71 unique senders
799,Fan-In,,A0299,81,,HIGH,Receiver accepted money from 81 unique senders
800,Fan-In,,A0300,73,,HIGH,Receiver accepted money from 73 unique senders
801,Fan-In,,A0301,58,,HIGH,Receiver accepted money from 58 unique senders
802,Fan-In,,A0302,63,,HIGH,Receiver accepted money from 63 unique senders
803,Fan-In,,A0303,66,,HIGH,Receiver accepted money from 66 unique senders
804,Fan-In,,A0304,69,,HIGH,Receiver accepted money from 69 unique senders
805,Fan-In,,A0305,74,,HIGH,Receiver accepted money from 74 unique senders
806,Fan-In,,A0306,81,,HIGH,Receiver accepted money from 81 unique senders
807,Fan-In,,A0307,63,,HIGH,Receiver accepted money from 63 unique senders
808,Fan-In,,A0308,72,,HIGH,Receiver accepted money from 72 unique senders
809,Fan-In,,A0309,181,,HIGH,Receiver accepted money from 181 unique senders
810,Fan-In,,A0310,65,,HIGH,Receiver accepted money from 65 unique senders
811,Fan-In,,A0311,91,,HIGH,Receiver accepted money from 91 unique senders
812,Fan-In,,A0312,85,,HIGH,Receiver accepted money from 85 unique senders
813,Fan-In,,A0313,84,,HIGH,Receiver accepted money from 84 unique senders
814,Fan-In,,A0314,74,,HIGH,Receiver accepted money from 74 unique senders
815,Fan-In,,A0315,148,,HIGH,Receiver accepted money from 148 unique senders
816,Fan-In,,A0316,65,,HIGH,Receiver accepted money from 65 unique senders
817,Fan-In,,A0317,69,,HIGH,Receiver accepted money from 69 unique senders
818,Fan-In,,A0318,77,,HIGH,Receiver accepted money from 77 unique senders
819,Fan-In,,A0319,137,,HIGH,Receiver accepted money from 137 unique senders
820,Fan-In,,A0320,56,,HIGH,Receiver accepted money from 56 unique senders
821,Fan-In,,A0321,145,,HIGH,Receiver accepted money from 145 unique senders
822,Fan-In,,A0322,85,,HIGH,Receiver accepted money from 85 unique senders
823,Fan-In,,A0323,60,,HIGH,Receiver accepted money from 60 unique senders
824,Fan-In,,A0324,63,,HIGH,Receiver accepted money from 63 unique senders
825,Fan-In,,A0325,71,,HIGH,Receiver accepted money from 71 unique senders
826,Fan-In,,A0326,139,,HIGH,Receiver accepted money from 139 unique senders
827,Fan-In,,A0327,80,,HIGH,Receiver accepted money from 80 unique senders
828,Fan-In,,A0328,82,,HIGH,Receiver accepted money from 82 unique senders
829,Fan-In,,A0329,68,,HIGH,Receiver accepted money from 68 unique senders
830,Fan-In,,A0330,80,,HIGH,Receiver accepted money from 80 unique senders
831,Fan-In,,A0331,61,,HIGH,Receiver accepted money from 61 unique senders
832,Fan-In,,A0332,73,,HIGH,Receiver accepted money from 73 unique senders
833,Fan-In,,A0333,84,,HIGH,Receiver accepted money from 84 unique senders
834,Fan-In,,A0334,78,,HIGH,Receiver accepted money from 78 unique senders
835,Fan-In,,A0335,169,,HIGH,Receiver accepted money from 169 unique senders
836,Fan-In,,A0336,65,,HIGH,Receiver accepted money from 65 unique senders
837,Fan-In,,A0337,79,,HIGH,Receiver accepted money from 79 unique senders
838,Fan-In,,A0338,68,,HIGH,Receiver accepted money from 68 unique senders
839,Fan-In,,A0339,68,,HIGH,Receiver accepted money from 68 unique senders
840,Fan-In,,A0340,81,,HIGH,Receiver accepted money from 81 unique senders
841,Fan-In,,A0341,156,,HIGH,Receiver accepted money from 156 unique senders
842,Fan-In,,A0342,70,,HIGH,Receiver accepted money from 70 unique senders
843,Fan-In,,A0343,81,,HIGH,Receiver accepted money from 81 unique senders
844,Fan-In,,A0344,76,,HIGH,Receiver accepted money from 76 unique senders
845,Fan-In,,A0345,58,,HIGH,Receiver accepted money from 58 unique senders
846,Fan-In,,A0346,70,,HIGH,Receiver accepted money from 70 unique senders
847,Fan-In,,A0347,60,,HIGH,Receiver accepted money from 60 unique senders
848,Fan-In,,A0348,80,,HIGH,Receiver accepted money from 80 unique senders
849,Fan-In,,A0349,87,,HIGH,Receiver accepted money from 87 unique senders
850,Fan-In,,A0350,82,,HIGH,Receiver accepted money from 82 unique senders
851,Fan-In,,A0351,131,,HIGH,Receiver accepted money from 131 unique senders
852,Fan-In,,A0352,81,,HIGH,Receiver accepted money from 81 unique senders
853,Fan-In,,A0353,77,,HIGH,Receiver accepted money from 77 unique senders
854,Fan-In,,A0354,72,,HIGH,Receiver accepted money from 72 unique senders
855,Fan-In,,A0355,64,,HIGH,Receiver accepted money from 64 unique senders
856,Fan-In,,A0356,59,,HIGH,Receiver accepted money from 59 unique senders
857,Fan-In,,A0357,81,,HIGH,Receiver accepted money from 81 unique senders
858,Fan-In,,A0358,84,,HIGH,Receiver accepted money from 84 unique senders
859,Fan-In,,A0359,63,,HIGH,Receiver accepted money from 63 unique senders
860,Fan-In,,A0360,68,,HIGH,Receiver accepted money from 68 unique senders
861,Fan-In,,A0361,67,,HIGH,Receiver accepted money from 67 unique senders
862,Fan-In,,A0362,71,,HIGH,Receiver accepted money from 71 unique senders
863,Fan-In,,A0363,76,,HIGH,Receiver accepted money from 76 unique senders
864,Fan-In,,A0364,75,,HIGH,Receiver accepted money from 75 unique senders
865,Fan-In,,A0365,81,,HIGH,Receiver accepted money from 81 unique senders
866,Fan-In,,A0366,85,,HIGH,Receiver accepted money from 85 unique senders
867,Fan-In,,A0367,73,,HIGH,Receiver accepted money from 73 unique senders
868,Fan-In,,A0368,63,,HIGH,Receiver accepted money from 63 unique senders
869,Fan-In,,A0369,72,,HIGH,Receiver accepted money from 72 unique senders
870,Fan-In,,A0370,59,,HIGH,Receiver accepted money from 59 unique senders
871,Fan-In,,A0371,81,,HIGH,Receiver accepted money from 81 unique senders
872,Fan-In,,A0372,62,,HIGH,Receiver accepted money from 62 unique senders
873,Fan-In,,A0373,175,,HIGH,Receiver accepted money from 175 unique senders
874,Fan-In,,A0374,160,,HIGH,Receiver accepted money from 160 unique senders
875,Fan-In,,A0375,155,,HIGH,Receiver accepted money from 155 unique senders
876,Fan-In,,A0376,67,,HIGH,Receiver accepted money from 67 unique senders
877,Fan-In,,A0377,87,,HIGH,Receiver accepted money from 87 unique senders
878,Fan-In,,A0378,81,,HIGH,Receiver accepted money from 81 unique senders
879,Fan-In,,A0379,87,,HIGH,Receiver accepted money from 87 unique senders
880,Fan-In,,A0380,70,,HIGH,Receiver accepted money from 70 unique senders
881,Fan-In,,A0381,90,,HIGH,Receiver accepted money from 90 unique senders
882,Fan-In,,A0382,71,,HIGH,Receiver accepted money from 71 unique senders
883,Fan-In,,A0383,72,,HIGH,Receiver accepted money from 72 unique senders
884,Fan-In,,A0384,143,,HIGH,Receiver accepted money from 143 unique senders
885,Fan-In,,A0385,75,,HIGH,Receiver accepted money from 75 unique senders
886,Fan-In,,A0386,75,,HIGH,Receiver accepted money from 75 unique senders
887,Fan-In,,A0387,84,,HIGH,Receiver accepted money from 84 unique senders
888,Fan-In,,A0388,75,,HIGH,Receiver accepted money from 75 unique senders
889,Fan-In,,A0389,80,,HIGH,Receiver accepted money from 80 unique senders
890,Fan-In,,A0390,70,,HIGH,Receiver accepted money from 70 unique senders
891,Fan-In,,A0391,92,,HIGH,Receiver accepted money from 92 unique senders
892,Fan-In,,A0392,82,,HIGH,Receiver accepted money from 82 unique senders
893,Fan-In,,A0393,71,,HIGH,Receiver accepted money from 71 unique senders
894,Fan-In,,A0394,148,,HIGH,Receiver accepted money from 148 unique senders
895,Fan-In,,A0395,90,,HIGH,Receiver accepted money from 90 unique senders
896,Fan-In,,A0396,164,,HIGH,Receiver accepted money from 164 unique senders
897,Fan-In,,A0397,72,,HIGH,Receiver accepted money from 72 unique senders
898,Fan-In,,A0398,74,,HIGH,Receiver accepted money from 74 unique senders
899,Fan-In,,A0399,86,,HIGH,Receiver accepted money from 86 unique senders
900,Fan-In,,A0400,75,,HIGH,Receiver accepted money from 75 unique senders
901,Fan-In,,A0401,58,,HIGH,Receiver accepted money from 58 unique senders
902,Fan-In,,A0402,74,,HIGH,Receiver accepted money from 74 unique senders
903,Fan-In,,A0403,70,,HIGH,Receiver accepted money from 70 unique senders
904,Fan-In,,A0404,64,,HIGH,Receiver accepted money from 64 unique senders
905,Fan-In,,A0405,80,,HIGH,Receiver accepted money from 80 unique senders
906,Fan-In,,A0406,146,,HIGH,Receiver accepted money from 146 unique senders
907,Fan-In,,A0407,75,,HIGH,Receiver accepted money from 75 unique senders
908,Fan-In,,A0408,61,,HIGH,Receiver accepted money from 61 unique senders
909,Fan-In,,A0409,160,,HIGH,Receiver accepted money from 160 unique senders
910,Fan-In,,A0410,58,,HIGH,Receiver accepted money from 58 unique senders
911,Fan-In,,A0411,71,,HIGH,Receiver accepted money from 71 unique senders
912,Fan-In,,A0412,71,,HIGH,Receiver accepted money from 71 unique senders
913,Fan-In,,A0413,74,,HIGH,Receiver accepted money from 74 unique senders
914,Fan-In,,A0414,72,,HIGH,Receiver accepted money from 72 unique senders
915,Fan-In,,A0415,71,,HIGH,Receiver accepted money from 71 unique senders
916,Fan-In,,A0416,75,,HIGH,Receiver accepted money from 75 unique senders
917,Fan-In,,A0417,81,,HIGH,Receiver accepted money from 81 unique senders
918,Fan-In,,A0418,86,,HIGH,Receiver accepted money from 86 unique senders
919,Fan-In,,A0419,78,,HIGH,Receiver accepted money from 78 unique senders
920,Fan-In,,A0420,68,,HIGH,Receiver accepted money from 68 unique senders
921,Fan-In,,A0421,70,,HIGH,Receiver accepted money from 70 unique senders
922,Fan-In,,A0422,70,,HIGH,Receiver accepted money from 70 unique senders
923,Fan-In,,A0423,77,,HIGH,Receiver accepted money from 77 unique senders
924,Fan-In,,A0424,85,,HIGH,Receiver accepted money from 85 unique senders
925,Fan-In,,A0425,158,,HIGH,Receiver accepted money from 158 unique senders
926,Fan-In,,A0426,142,,HIGH,Receiver accepted money from 142 unique senders
927,Fan-In,,A0427,69,,HIGH,Receiver accepted money from 69 unique senders
928,Fan-In,,A0428,84,,HIGH,Receiver accepted money from 84 unique senders
929,Fan-In,,A0429,92,,HIGH,Receiver accepted money from 92 unique senders
930,Fan-In,,A0430,71,,HIGH,Receiver accepted money from 71 unique senders
931,Fan-In,,A0431,148,,HIGH,Receiver accepted money from 148 unique senders
932,Fan-In,,A0432,77,,HIGH,Receiver accepted money from 77 unique senders
933,Fan-In,,A0433,85,,HIGH,Receiver accepted money from 85 unique senders
934,Fan-In,,A0434,84,,HIGH,Receiver accepted money from 84 unique senders
935,Fan-In,,A0435,124,,HIGH,Receiver accepted money from 124 unique senders
936,Fan-In,,A0436,86,,HIGH,Receiver accepted money from 86 unique senders
937,Fan-In,,A0437,86,,HIGH,Receiver accepted money from 86 unique senders
938,Fan-In,,A0438,69,,HIGH,Receiver accepted money from 69 unique senders
939,Fan-In,,A0439,75,,HIGH,Receiver accepted money from 75 unique senders
940,Fan-In,,A0440,155,,HIGH,Receiver accepted money from 155 unique senders
941,Fan-In,,A0441,65,,HIGH,Receiver accepted money from 65 unique senders
942,Fan-In,,A0442,71,,HIGH,Receiver accepted money from 71 unique senders
943,Fan-In,,A0443,77,,HIGH,Receiver accepted money from 77 unique senders
944,Fan-In,,A0444,76,,HIGH,Receiver accepted money from 76 unique senders
945,Fan-In,,A0445,156,,HIGH,Receiver accepted money from 156 unique senders
946,Fan-In,,A0446,84,,HIGH,Receiver accepted money from 84 unique senders
947,Fan-In,,A0447,180,,HIGH,Receiver accepted money from 180 unique senders
948,Fan-In,,A0448,97,,HIGH,Receiver accepted money from 97 unique senders
949,Fan-In,,A0449,72,,HIGH,Receiver accepted money from 72 unique senders
950,Fan-In,,A0450,69,,HIGH,Receiver accepted money from 69 unique senders
951,Fan-In,,A0451,64,,HIGH,Receiver accepted money from 64 unique senders
952,Fan-In,,A0452,78,,HIGH,Receiver accepted money from 78 unique senders
953,Fan-In,,A0453,69,,HIGH,Receiver accepted money from 69 unique senders
954,Fan-In,,A0454,154,,HIGH,Receiver accepted money from 154 unique senders
955,Fan-In,,A0455,75,,HIGH,Receiver accepted money from 75 unique senders
956,Fan-In,,A0456,75,,HIGH,Receiver accepted money from 75 unique senders
957,Fan-In,,A0457,63,,HIGH,Receiver accepted money from 63 unique senders
958,Fan-In,,A0458,155,,HIGH,Receiver accepted money from 155 unique senders
959,Fan-In,,A0459,92,,HIGH,Receiver accepted money from 92 unique senders
960,Fan-In,,A0460,77,,HIGH,Receiver accepted money from 77 unique senders
961,Fan-In,,A0461,65,,HIGH,Receiver accepted money from 65 unique senders
962,Fan-In,,A0462,79,,HIGH,Receiver accepted money from 79 unique senders
963,Fan-In,,A0463,75,,HIGH,Receiver accepted money from 75 unique senders
964,Fan-In,,A0464,74,,HIGH,Receiver accepted money from 74 unique senders
965,Fan-In,,A0465,64,,HIGH,Receiver accepted money from 64 unique senders
966,Fan-In,,A0466,71,,HIGH,Receiver accepted money from 71 unique senders
967,Fan-In,,A0467,81,,HIGH,Receiver accepted money from 81 unique senders
968,Fan-In,,A0468,74,,HIGH,Receiver accepted money from 74 unique senders
969,Fan-In,,A0469,65,,HIGH,Receiver accepted money from 65 unique senders
970,Fan-In,,A0470,161,,HIGH,Receiver accepted money from 161 unique senders
971,Fan-In,,A0471,84,,HIGH,Receiver accepted money from 84 unique senders
972,Fan-In,,A0472,158,,HIGH,Receiver accepted money from 158 unique senders
973,Fan-In,,A0473,124,,HIGH,Receiver accepted money from 124 unique senders
974,Fan-In,,A0474,75,,HIGH,Receiver accepted money from 75 unique senders
975,Fan-In,,A0475,132,,HIGH,Receiver accepted money from 132 unique senders
976,Fan-In,,A0476,67,,HIGH,Receiver accepted money from 67 unique senders
977,Fan-In,,A0477,69,,HIGH,Receiver accepted money from 69 unique senders
978,Fan-In,,A0478,62,,HIGH,Receiver accepted money from 62 unique senders
979,Fan-In,,A0479,74,,HIGH,Receiver accepted money from 74 unique senders
980,Fan-In,,A0480,76,,HIGH,Receiver accepted money from 76 unique senders
981,Fan-In,,A0481,171,,HIGH,Receiver accepted money from 171 unique senders
982,Fan-In,,A0482,123,,HIGH,Receiver accepted money from 123 unique senders
983,Fan-In,,A0483,66,,HIGH,Receiver accepted money from 66 unique senders
984,Fan-In,,A0484,166,,HIGH,Receiver accepted money from 166 unique senders
985,Fan-In,,A0485,69,,HIGH,Receiver accepted money from 69 unique senders
986,Fan-In,,A0486,73,,HIGH,Receiver accepted money from 73 unique senders
987,Fan-In,,A0487,66,,HIGH,Receiver accepted money from 66 unique senders
988,Fan-In,,A0488,65,,HIGH,Receiver accepted money from 65 unique senders
989,Fan-In,,A0489,68,,HIGH,Receiver accepted money from 68 unique senders
990,Fan-In,,A0490,84,,HIGH,Receiver accepted money from 84 unique senders
991,Fan-In,,A0491,72,,HIGH,Receiver accepted money from 72 unique senders
992,Fan-In,,A0492,65,,HIGH,Receiver accepted money from 65 unique senders
993,Fan-In,,A0493,72,,HIGH,Receiver accepted money from 72 unique senders
994,Fan-In,,A0494,87,,HIGH,Receiver accepted money from 87 unique senders
995,Fan-In,,A0495,83,,HIGH,Receiver accepted money from 83 unique senders
996,Fan-In,,A0496,77,,HIGH,Receiver accepted money from 77 unique senders
997,Fan-In,,A0497,72,,HIGH,Receiver accepted money from 72 unique senders
998,Fan-In,,A0498,73,,HIGH,Receiver accepted money from 73 unique senders
999,Fan-In,,A0499,76,,HIGH,Receiver accepted money from 76 unique senders
1000,Fan-In,,A0500,80,,HIGH,Receiver accepted money from 80 unique senders
1001,Circular Transfer,A0294,A0325,2,,HIGH,Bi-directional money flow detected
1002,Circular Transfer,A0219,A0187,2,,HIGH,Bi-directional money flow detected
1003,Circular Transfer,A0378,A0114,2,,HIGH,Bi-directional money flow detected
1004,Circular Transfer,A0473,A0140,2,,HIGH,Bi-directional money flow detected
1005,Circular Transfer,A0331,A0264,2,,HIGH,Bi-directional money flow detected
1006,Circular Transfer,A0041,A0279,2,,HIGH,Bi-directional money flow detected
1007,Circular Transfer,A0479,A0233,2,,HIGH,Bi-directional money flow detected
1008,Circular Transfer,A0493,A0274,2,,HIGH,Bi-directional money flow detected
1009,Circular Transfer,A0069,A0426,2,,HIGH,Bi-directional money flow detected
1010,Circular Transfer,A0199,A0062,2,,HIGH,Bi-directional money flow detected
1011,Circular Transfer,A0143,A0258,2,,HIGH,Bi-directional money flow detected
1012,Circular Transfer,A0454,A0067,2,,HIGH,Bi-directional money flow detected
1013,Circular Transfer,A0410,A0347,2,,HIGH,Bi-directional money flow detected
1014,Circular Transfer,A0252,A0303,2,,HIGH,Bi-directional money flow detected
1015,Circular Transfer,A0384,A0130,2,,HIGH,Bi-directional money flow detected
1016,Circular Transfer,A0105,A0443,2,,HIGH,Bi-directional money flow detected
1017,Circular Transfer,A0139,A0434,2,,HIGH,Bi-directional money flow detected
1018,Circular Transfer,A0444,A0487,2,,HIGH,Bi-directional money flow detected
1019,Circular Transfer,A0040,A0004,2,,HIGH,Bi-directional money flow detected
1020,Circular Transfer,A0040,A0260,2,,HIGH,Bi-directional money flow detected
